year,crowned,winner,state_or_district,city,age,awards,talent,notes
1921,"September 8, 1921",Margaret Gorman,District of Columbia,Washington,16,"Inter-City Beauty, Amateur",,"Was named ""The Most Beautiful Bathing Girl in America""; was not titled ""Miss America"" until 1922"
1922,"September 7, 1922",Mary Katherine Campbell,Ohio,Columbus,16,,,Only person to win twice; also was 1st runner-up at the 1924 pageant
1923,"September 7, 1923",Mary Katherine Campbell,Ohio,Columbus,17,,,Only person to win twice; also was 1st runner-up at the 1924 pageant
1924,"September 6, 1924",Ruth Malcomson,Pennsylvania,Philadelphia,18,,,
1925,"September 11, 1925",Fay Lanphier,California,Oakland,19,,,
1926,"September 10, 1926",Norma Smallwood,Oklahoma,Tulsa,18,Bather's Revue Winner Evening Gown Award,,
1927,"September 9, 1927",Lois Delander,Illinois,Joliet,17,,,
1933,"September 9, 1933",Marian Bergeron,Connecticut,West Haven,15,,,Youngest winner in history at the age of 15½. Held title for two years since no competition was held in 1934
1935,"September 7, 1935",Henrietta Leaver,Pennsylvania,Pittsburgh,17,,"Vocal / Tap dance,
""Living In a Great Big Way""",
1936,"September 12, 1936",Rose Coyle,Pennsylvania,Philadelphia,22,Preliminary Talent,"Vocal / Tap dance,
""I Can't Escape From You"" & ""Truckin'""",
1937,"September 11, 1937",Bette Cooper,New Jersey,Bertrand Island,17,Evening Gown Award,"Vocal,
""When the Poppies Bloom Again""",
1938,"September 10, 1938",Marilyn Meseke,Ohio,Marion,21,,"Tap dance,
""The World Is Waiting for the Sunrise""",Held the title of Miss Ohio twice (1931 & 1938)
1939,"September 9, 1939",Patricia Donnelly,Michigan,Detroit,19,,"Vocal / Bass Fiddle,
""To You"" & ""Ol' Man Mose""",
1940,"September 7, 1940",Frances Marie Burke,Pennsylvania,Philadelphia,19,Preliminary Swimsuit,"Vocal / Dance,
""I Can't Love You Anymore""",
1941,"September 6, 1941",Rosemary LaPlanche,California,Los Angeles,18,Preliminary Swimsuit,Dance,Also placed 1st runner-up at Miss America 1940 pageant
1942,"Sept. 12, 1942",Jo-Carroll Dennison,Texas,Tyler,18,Preliminary Swimsuit Preliminary Talent,"Vocal / Dance,
""Deep in the Heart of Texas""",
1943,"September 11, 1943",Jean Bartel,California,Los Angeles,19,Preliminary Swimsuit Preliminary Talent,"Vocal,
""Night and Day""",
1944,"September 9, 1944",Venus Ramey,District of Columbia,Washington,19,Preliminary Swimsuit Preliminary Talent,"Vocal / Dance,
""Take It Easy""",
1945,"September 8, 1945",Bess Myerson,New York,New York City,21,Preliminary Swimsuit Preliminary Talent,"Piano & flute,
""Piano Concerto In A Minor"" by Edvard Grieg & ""Summertime""",First Jewish-American Miss America First Miss New York crowned
1946,"September 7, 1946",Marilyn Buferd,California,Los Angeles,21,Preliminary Swimsuit Preliminary Talent (tie),"Dramatic monologue,
Accent on Youth",
1947,"September 6, 1947",Barbara Jo Walker,Tennessee,Memphis,21,Preliminary Talent,"Art display & vocal medley,
""One Kiss"" & ""Un Bel Di"" from Madama Butterfly",
1948,"September 11, 1948",BeBe Shopp,Minnesota,Hopkins,18,Preliminary Swimsuit,"Vibraharp,
""Caprice Viennois"" by Fritz Kreisler",
1949,"September 10, 1949",Jacque Mercer,Arizona,Litchfield Park,18,Preliminary Swimsuit (tie) Preliminary Talent,"Dramatic reading,
Romeo and Juliet",
1951,"September 9, 1950",Yolande Betbeze,Alabama,Mobile,21,Preliminary Swimsuit,"Classical vocal,
""Caro Nome"" from Rigoletto",Sparked the creation of the Miss USA and Miss Universepageants[citation needed]
1952,"September 8, 1951",Colleen Kay Hutchins,Utah,Salt Lake City,25,Preliminary Talent,"Dramatic monologue,
""Elizabeth the Queen"" by Maxwell Anderson",
1953,"September 6, 1952",Neva Jane Langley,Georgia,Macon,19,Preliminary Swimsuit Preliminary Talent,"Classical piano,
""Toccata""",
1954,"September 12, 1953",Evelyn Margaret Ay,Pennsylvania,Ephrata,20,Preliminary Swimsuit,"Poetry recitation,
""Footsteps"" from Leaves from a Grass-House by Don Blanding",
1955,"September 11, 1954",Lee Meriwether,California,San Francisco,19,Preliminary Swimsuit,"Dramatic monologue,
Riders to the Sea",First winner crowned on television (ABC) Became an actress (Batman)
1956,"September 10, 1955",Sharon Ritchie,Colorado,Denver,18,,"Recitation,
""The Murder of Lidice"" by Edna St. Vincent Millay",
1957,"September 8, 1956",Marian McKnight,South Carolina,Manning,19,,"Comedy sketch,
""The Monroe Doctrine""",
1958,"September 7, 1957",Marilyn Van Derbur,Colorado,Denver,20,,"Organ,
""Tea for Two"" & ""Tenderly""",Television broadcast moved to CBS
1959,"September 6, 1958",Mary Ann Mobley,Mississippi,Brandon,21,Preliminary Talent,"Vocal medley & dance,
""Un Bel Di"" & ""There'll Be Some Changes Made""",Became an actress (Diff'rent Strokes) and TV hostess
1960,"September 12, 1959",Lynda Lee Mead,,Natchez,20,,"Original dramatic act,
""Schizophrenia""",
1961,"September 10, 1960",Nancy Fleming,Michigan,Montague,18,Preliminary Swimsuit Preliminary Talent (tie),Presentation of dress design,
1962,"September 9, 1961",Maria Fletcher,North Carolina,Asheville,19,Preliminary Swimsuit,,First Miss North Carolina crowned
1963,"September 8, 1962",Jacquelyn Mayer,Ohio,Sandusky,20,,"Broadway vignette,
""Wishing Upon a Star,"" ""My Favorite Things"" & The White Cliffs of Dover",
1964,"September 7, 1963",Donna Axum,Arkansas,El Dorado,21,Preliminary Swimsuit,"Vocal medley,
""Quando me'n vo'"" & ""I Love Paris""",
1965,"September 12, 1964",Vonda Kay Van Dyke,Arizona,Phoenix,21,Miss Congeniality,"Ventriloquism,
""Together (Wherever We Go)""",Only Miss Congeniality award winner to be also crowned Miss America
1966,"September 11, 1965",Deborah Irene Bryant,Kansas,Overland Park,19,Preliminary Swimsuit,"Dramatic interpretation,
""The Miserable Miserliness of Midas Moneybags""",
1967,"September 10, 1966",Jane Anne Jayroe,Oklahoma,Laverne,19,Preliminary Talent,"Vocal / Orchestral conducting,
""1-2-3""",Television broadcast moved to NBC
1968,"September 9, 1967",Debra Dene Barnes,Kansas,Moran,20,Preliminary Swimsuit,"Piano,
""Born Free""",
1969,"September 7, 1968",Judith Ford,Illinois,Belvidere,18,Preliminary Swimsuit Preliminary Talent,"Acrobatic dance & trampoline,
""The Blue Danube""",
1970,"September 6, 1969",Pamela Eldred,Michigan,West Bloomfield,21,Preliminary Swimsuit,"Ballet,
""Love Theme"" from Romeo & Juliet",
1971,"September 12, 1970",Phyllis George,Texas,Denton,21,Preliminary Swimsuit,"Piano medley,
Promises, Promises & ""Raindrops Keep Fallin' on My Head""",Former sportscaster on CBS[12] Former First Lady of Kentucky (1979–83)[12]
1972,"September 11, 1971",Laurie Lea Schaefer,Ohio,Bexley,22,Preliminary Swimsuit,"Semi-classical vocal,
""And This Is My Beloved""",
1973,"September 9, 1972",Terry Meeuwsen,Wisconsin,De Pere,23,Preliminary Swimsuit Preliminary Talent,"Vocal,
""He Touched Me"" from Drat! The Cat!",First Miss Wisconsin crowned[14] Co-host of The 700 Club[15]
1974,"September 8, 1973",Rebecca King,Colorado,Denver,23,,"Vocal,
""If I Ruled the World""","Mother of Miss Colorado 2011, Diana Dremen[17]"
1975,"September 7, 1974",Shirley Cothran,Texas,Fort Worth,21,Preliminary Swimsuit,"Flute medley,
""Bumble Boogie"" & ""Swingin' Shepherd Blues""",
1976,"September 6, 1975",Tawny Godin,New York,Yonkers,18,,"Original piano composition,
""Images in Pastels""",
1977,"September 11, 1976",Dorothy Benham,Minnesota,Edina,20,Preliminary Swimsuit Preliminary Talent,"Classical vocal,
""Adele's Laughing Song"" from Die Fledermaus",Appeared in Jerome Robbins' Broadway[21]
1978,"September 10, 1977",Susan Perkins,Ohio,Columbus,23,Preliminary Talent,"Vocal,
""Good Morning Heartache""",Television broadcast moved to CBS
1979,"September 9, 1978",Kylene Barker,Virginia,Galax,22,,"Gymnastics routine,
""Gonna Fly Now"" & ""Feels So Good""",Television broadcast moved to NBC
1980,"September 8, 1979",Cheryl Prewitt,Mississippi,Ackerman,22,Preliminary Swimsuit,"Vocal / Piano,
""Don't Cry Out Loud""",
1981,"September 6, 1980",Susan Powell,Oklahoma,Elk City,21,Preliminary Talent (tie),"Classical vocal,
""The Telephone Aria""",
1982,"September 12, 1981",Elizabeth Ward,Arkansas,Russellville,20,Preliminary Swimsuit,"Vocal,
""After You've Gone""",Previously National Sweetheart 1981[26] Infamously had short-lived affair with President Bill Clinton in 1998[27][28]
1983,"September 11, 1982",Debra Maffett,California,Anaheim,25,Preliminary Swimsuit Preliminary Talent,"Popular vocal,
""Come In From the Rain""",
1984,"September 17, 1983",Vanessa Lynn Williams,New York,Millwood,20,Preliminary Swimsuit Preliminary Talent,"Popular vocal,
""Happy Days Are Here Again""","First African American Miss America[30] Resigned on July 23, 1984 due to backlash from unauthorized nude photos of her being published in Penthouse magazine[31][32]"
1984,"July 23, 1984",Suzette Charles,New Jersey,Mays Landing,21,Preliminary Talent,"Popular vocal,
""Kiss Me In the Rain""","Served the shortest term by any Miss America, lasting only seven weeks[34]"
1985,"September 8, 1984",Sharlene Wells,Utah,Salt Lake City,20,Preliminary Swimsuit,"Spanish vocal & Paraguyan harp,
""Mis Noches Sin Ti""","The first foreign-born, bilingual Miss America (born in Asunción, Paraguay)[36]"
1986,"September 14, 1985",Susan Akin,Mississippi,Meridian,21,Preliminary Swimsuit,"Vocal,
""You're My World""",
1987,"September 13, 1986",Kellye Cash,Tennessee,Memphis,21,Preliminary Swimsuit Preliminary Talent,"Piano / Vocal,
""I'll Be Home""","Grandniece of singer, Johnny Cash[39]"
1988,"September 19, 1987",Kaye Lani Rae Rafko,Michigan,Monroe,24,Preliminary Swimsuit,Hawaiian-Tahitian dance,
1989,"September 10, 1988",Gretchen Carlson,Minnesota,Anoka,22,Preliminary Talent,"Classical violin,
""Zigeunerweisen""",Former news anchor of Fox & Friends Current chairwoman of the board of directors of the Miss America Organization[42]
1990,"September 16, 1989",Debbye Turner,Missouri,Mexico,23,Preliminary Swimsuit,"Marimba medley,
""Flight of the Bumblebee,"" ""Csárdás"" & ""Can-Can""",Medical Reporter and Anchor for CBS's The Early Show First Miss Missouri crowned
1991,"September 8, 1990",Marjorie Vincent,Illinois,Oak Park,25,Preliminary Talent,"Classical piano,
""Fantaisie-Impromptu""",First Miss America winner of Haitian descent Former Chair of the Board of Trustees for the Miss America Organization (served for 3 months)[45]
1992,"September 14, 1991",Carolyn Suzanne Sapp,Hawaii,Kona,24,Preliminary Swimsuit,"Vocal,
""Ain't Misbehavin'""",First Miss Hawaii crowned[46]
1993,"September 19, 1992",Leanza Cornett,Florida,Jacksonville,21,,"Vocal,
""A New Life"" from Jekyll & Hyde",Married (and later divorced) Mark Steines[48]
1994,"September 18, 1993",Kimberly Clarice Aiken,South Carolina,Columbia,18,,"Vocal,
""Summertime""",
